SEASON,DATE_TIME,TEAM_HOME,TEAM_AWAY,FTG_HOME,FTG_AWAY,HTG_HOME,HTG_AWAY
2021/2022,11/7/2021,PSS SLEMAN,PERSIKABO 1973,3,2,2,2
2021/2022,11/18/2021,PERSITA TANGERANG,BHAYANGKARA FC,2,1,1,0
2021/2022,11/18/2021,PERSIKABO 1973,PSIS SEMARANG,2,2,0,2
2021/2022,11/18/2021,BORNEO FC,PERSIPURA JAYAPURA,1,0,0,0
2021/2022,11/18/2021,PSM MAKASSAR,PSS SLEMAN,2,2,1,1
2021/2022,11/19/2021,PS BARITO PUTERA,PERSIRAJA BANDA ACEH,4,1,2,0
2021/2022,11/19/2021,PERSIK KEDIRI,AREMA FC,2,3,1,3
2021/2022,11/19/2021,BALI UNITED,PERSELA LAMONGAN,2,1,1,1
2021/2022,11/20/2021,PERSEBAYA SURABAYA,MADURA UNITED,1,0,0,0
2021/2022,11/20/2021,PERSIB BANDUNG,PERSIJA JAKARTA,0,1,0,1
2021/2022,11/22/2021,PERSIPURA JAYAPURA,PERSIKABO 1973,2,1,2,1
2021/2022,11/22/2021,PSS SLEMAN,BHAYANGKARA FC,0,0,0,0
2021/2022,11/22/2021,PSIS SEMARANG,PSM MAKASSAR,1,0,1,0
2021/2022,11/23/2021,PERSELA LAMONGAN,BORNEO FC,0,2,0,1
2021/2022,11/23/2021,AREMA FC,PS BARITO PUTERA,2,1,0,0
2021/2022,11/24/2021,MADURA UNITED,PERSIK KEDIRI,2,0,1,0
2021/2022,11/24/2021,PERSEBAYA SURABAYA,PERSITA TANGERANG,4,0,1,0
2021/2022,11/24/2021,PERSIRAJA BANDA ACEH,PERSIB BANDUNG,0,4,0,3
2021/2022,11/25/2021,PERSIJA JAKARTA,BALI UNITED,0,1,0,1
2021/2022,11/26/2021,BHAYANGKARA FC,PSIS SEMARANG,0,0,0,0
2021/2022,11/27/2021,PERSIKABO 1973,PERSELA LAMONGAN,4,2,2,1
2021/2022,11/27/2021,PSM MAKASSAR,PERSIPURA JAYAPURA,1,1,1,1
2021/2022,11/28/2021,PERSITA TANGERANG,PSS SLEMAN,1,0,0,0
2021/2022,11/28/2021,PS BARITO PUTERA,MADURA UNITED,0,3,0,2
2021/2022,11/28/2021,PERSIK KEDIRI,PERSEBAYA SURABAYA,0,0,0,0
2021/2022,11/28/2021,PERSIB BANDUNG,AREMA FC,0,1,0,1
2021/2022,11/29/2021,BORNEO FC,PERSIJA JAKARTA,2,1,0,1
2021/2022,11/30/2021,BALI UNITED,PERSIRAJA BANDA ACEH,5,0,2,0
2021/2022,12/2/2021,PERSIPURA JAYAPURA,BHAYANGKARA FC,0,2,0,1
2021/2022,12/2/2021,PERSELA LAMONGAN,PSM MAKASSAR,1,1,0,0
2021/2022,12/3/2021,PERSIK KEDIRI,PERSITA TANGERANG,2,0,0,0
2021/2022,12/3/2021,PSIS SEMARANG,PSS SLEMAN,1,2,1,1
2021/2022,12/3/2021,PERSIJA JAKARTA,PERSIKABO 1973,1,0,0,0
2021/2022,12/4/2021,PERSEBAYA SURABAYA,PS BARITO PUTERA,2,0,1,0
2021/2022,12/4/2021,MADURA UNITED,PERSIB BANDUNG,0,1,0,1
2021/2022,12/5/2021,PERSIRAJA BANDA ACEH,BORNEO FC,0,2,0,1
2021/2022,12/5/2021,AREMA FC,BALI UNITED,0,0,0,0
2021/2022,12/6/2021,BHAYANGKARA FC,PERSELA LAMONGAN,2,0,2,0
2021/2022,12/7/2021,PSS SLEMAN,PERSIPURA JAYAPURA,1,1,0,0
2021/2022,12/7/2021,PERSITA TANGERANG,PSIS SEMARANG,2,3,0,2
2021/2022,12/7/2021,PSM MAKASSAR,PERSIJA JAKARTA,0,3,0,0
2021/2022,12/8/2021,PS BARITO PUTERA,PERSIK KEDIRI,0,2,0,1
2021/2022,12/8/2021,PERSIB BANDUNG,PERSEBAYA SURABAYA,0,3,0,0
2021/2022,12/9/2021,PERSIKABO 1973,PERSIRAJA BANDA ACEH,5,0,2,0
2021/2022,12/9/2021,BALI UNITED,MADURA UNITED,0,1,0,0
2021/2022,12/10/2021,BORNEO FC,AREMA FC,1,2,0,0
2021/2022,12/11/2021,PERSELA LAMONGAN,PSS SLEMAN,1,1,0,1
2021/2022,12/11/2021,PERSIJA JAKARTA,BHAYANGKARA FC,0,0,0,0
2021/2022,12/11/2021,PERSIPURA JAYAPURA,PSIS SEMARANG,2,1,0,1
2021/2022,12/12/2021,PERSIK KEDIRI,PERSIB BANDUNG,0,1,0,1
2021/2022,12/12/2021,PERSITA TANGERANG,PS BARITO PUTERA,0,1,0,1
2021/2022,12/13/2021,PERSIRAJA BANDA ACEH,PSM MAKASSAR,0,0,0,0
2021/2022,12/14/2021,MADURA UNITED,BORNEO FC,2,2,2,1
2021/2022,1/5/2022,AREMA FC,PERSIKABO 1973,0,0,0,0
2021/2022,1/5/2022,PERSEBAYA SURABAYA,BALI UNITED,3,1,1,1
2021/2022,1/6/2022,PERSIPURA JAYAPURA,PERSELA LAMONGAN,1,0,0,0
2021/2022,1/6/2022,PSIS SEMARANG,PERSIJA JAKARTA,1,2,1,1
2021/2022,1/7/2022,PSS SLEMAN,PERSIRAJA BANDA ACEH,4,1,3,0
2021/2022,1/7/2022,PERSIB BANDUNG,PERSITA TANGERANG,1,0,1,0
2021/2022,1/8/2022,PSM MAKASSAR,MADURA UNITED,1,0,1,0
2021/2022,1/8/2022,BORNEO FC,PERSIK KEDIRI,1,1,0,1
2021/2022,1/9/2022,BALI UNITED,PS BARITO PUTERA,3,0,1,0
2021/2022,1/9/2022,BHAYANGKARA FC,AREMA FC,0,1,0,1
